,Name,name-greek,main-type,sub-type,description,Wiki link,Reference
0,Aphrodite,Ἀφροδίτη,god,olympian,"goddess of beauty, love, desire, and pleasure",Aphrodite,Aphrodite
1,Apollo,Ἀπόλλων,god,olympian,"god of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery",Apollo,Apollo
2,Ares,Ἄρης,god,olympian,"god of courage, war, bloodshed, and violence",Ares,Ares
3,Artemis,Ἄρτεμις,god,olympian,"virgin goddess of the hunt, wilderness, animals, the moon and young girls",Artemis,Artemis
4,Athena,Ἀθηνᾶ,god,olympian,"goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts",Athena,Athena
5,Demeter,Δημήτηρ,god,olympian,"goddess of grain, agriculture, harvest, growth, and nourishment",Demeter,Demeter
6,Dionysus,Διόνυσος,god,olympian,"god of wine, fruitfulness, parties, festivals, madness, chaos, drunkenness, vegetation, ecstasy, and the theater",Dionysus,Dionysus
7,Hades,ᾍδης,god,olympian,god and king of the underworld and the dead,Hades,Hades
8,Hephaestus,Ἥφαιστος,god,olympian,"god of fire, metalworking, and crafts",Hephaestus,Hephaestus
9,Hera,Ἥρα,god,olympian,"queen of the gods, and goddess of marriage, women, childbirth, heirs, kings, and empires",Hera,Hera
10,Hermes,Ἑρμῆς,god,olympian,"god of boundaries, travel, communication, trade, language, thieves and writing",Hermes,Hermes
11,Hestia,Ἑστία,god,olympian,"virgin goddess of the hearth, home, and chastity",Hestia,Hestia
12,Poseidon,Ποσειδῶν,god,olympian,"god of the sea, rivers, floods, droughts, and earthquakes",Poseidon,Poseidon
13,Zeus,Ζεύς,god,olympian,"king of the gods, ruler of mount olympus, and god of the sky, weather, thunder, lightning, law, order, and justice",Zeus,Zeus
14,Achlys,Ἀχλύς,god,primordial," goddess of poisons, and the personification of misery and sadness",Achlys,Achlys
15,Aether,Αἰθήρ,god,primordial, god of light and the upper atmosphere,Aether_(mythology),Aether
16,Aion,Αἰών,god,primordial," god of eternity, personifying cyclical and unbounded time",Aion_(deity),Aion
17,Ananke,Ἀνάγκη,god,primordial," goddess of inevitability, compulsion, and necessity",Ananke,Ananke
18,Chaos,Χάος,god,primordial, personification of nothingness from which all of existence sprang,Chaos_(cosmogony),Chaos
19,Chronos,Χρόνος,god,primordial," god of empirical time, sometimes equated with aion",Chronos,Chronos
20,Erebus,Ἔρεβος,god,primordial, god of darkness and shadow,Erebus,Erebus
21,Eros,Ἔρως,god,primordial, god of love and attraction,Eros,Eros
22,Gaia,Γαῖα,god,primordial,personification of the earth (mother earth); mother of the titans,Gaia,Gaia
23,Hemera,Ἡμέρα,god,primordial, goddess of day,Hemera,Hemera
24,Hypnos,Ὕπνος,god,primordial,god of sleep,Hypnos,Hypnos
25,Nemesis,Νέμεσις,god,primordial, goddess of retribution,Nemesis,Nemesis
