Reference,Name,Wiki link,Form of,Gender,Rank,Type
Brahma,Brahma,Brahma,Themselves,male,supreme,universal
Hiranyagarbha,Hiranyagarbha,Hiranyagarbha,Brahma,male,supreme,universal
Vishnu,Vishnu,Vishnu,Themselves,male,supreme,universal
Rama,Rama,nan,Vishnu,male,supreme,universal
Narayana,Narayana,Narayana,Vishnu,male,supreme,universal
Perumal,Perumal,Perumal_(deity),Vishnu,male,supreme,universal
Jagannatha,Jagannatha,Jagannatha,Vishnu,male,supreme,universal
Hayagriva,Hayagriva,Hayagriva,Vishnu,male,supreme,universal
Achyuta,Achyuta,Achyuta,Vishnu,male,supreme,universal
Madhava,Madhava,Madhava_(Vishnu),Vishnu,male,supreme,universal
Venkateshwara,Venkateshwara,Venkateshwara,Vishnu,male,supreme,universal
Guruvayurappan,Guruvayurappan,Guruvayurappan,Vishnu,male,supreme,universal
Vaikuntha Chaturmurti,Vaikuntha Chaturmurti,Vaikuntha_Chaturmurti,Vishnu,male,supreme,universal
Vaikuntha Kamalaja,Vaikuntha Kamalaja,Vaikuntha_Kamalaja,Vishnu,male,supreme,universal
Krishna,Krishna,Krishna,Vishnu,male,supreme,universal
Vishvarupa,Vishvarupa,Vishvarupa,Vishnu,male,supreme,universal
Ranganatha,Ranganatha,Ranganatha,Vishnu,male,supreme,universal
Dashavatara,Dashavatara,Dashavatara,Vishnu,male,supreme,universal
Madhusudana,Madhusudana,Madhusudana,Vishnu,male,supreme,universal
Hari,Hari,Hari,Vishnu,male,supreme,universal
Upulvan,Upulvan,Upulvan,Vishnu,male,supreme,universal
Purushottama,Purushottama,Purushottama,Vishnu,male,supreme,universal
Vasudeva,Vasudeva,nan,Vishnu,male,supreme,universal
Govinda,Govinda,Govinda,Vishnu,male,supreme,universal
Caturvyūha,Caturvyūha,Caturvy%C5%ABha,Vishnu,male,supreme,universal
Keshava,Keshava,Keshava,Vishnu,male,supreme,universal
Matsya,Matsya,Matsya,Vishnu,male,supreme,universal
Kurma,Kurma,Kurma,Vishnu,male,supreme,universal
Varaha,Varaha,Varaha,Vishnu,male,supreme,universal
Narasimha,Narasimha,Narasimha,Vishnu,male,supreme,universal
Vamana,Vamana,Vamana,Vishnu,male,supreme,universal
Parashurama,Parashurama,Parashurama,Vishnu,male,supreme,universal
Buddha,Buddha,Gautama_Buddha_in_Hinduism,Vishnu,male,supreme,universal
Kalki,Kalki,Kalki,Vishnu,male,supreme,universal
Balarama,Balarama,Balarama,Vishnu,male,supreme,universal
Prithu,Prithu,Prithu,Vishnu,male,supreme,universal
Mohini,Mohini,Mohini,Vishnu,male,supreme,universal
Dhanvantari,Dhanvantari,Dhanvantari,Vishnu,male,supreme,universal
Kapila,Kapila,Kapila,Vishnu,male,supreme,universal
Yajna,Yajna,Yajna_(avatar),Vishnu,male,supreme,universal
Dattatreya,Dattatreya,Dattatreya,Brahma|Vishnu|Shiva,male,supreme,universal
Shiva,Shiva,Shiva,Themselves,male,supreme,universal
Hara,Hara,nan,Shiva,male,supreme,universal
Rudra,Rudra,Rudra,Shiva,male,supreme,universal
Virupaksha,Virupaksha,Virupaksha,Shiva,male,supreme,universal
Manjunatha,Manjunatha,nan,Shiva,male,supreme,universal
Bholenath,Bholenath,Bholenath,Shiva,male,supreme,universal
Maheshwara,Maheshwara,nan,Shiva,male,supreme,universal
Veerabhadra,Veerabhadra,Veerabhadra,Shiva,male,supreme,universal
Jyotirlinga,Jyotirlinga,Jyotirlinga,Shiva,male,supreme,universal
Dakshinamurthy,Dakshinamurthy,Dakshinamurthy,Shiva,male,supreme,universal
Bhairava,Bhairava,Bhairava,Shiva,male,supreme,universal
Pashupati,Pashupati,Pashupati,Shiva,male,supreme,universal
Khandoba,Khandoba,Khandoba,Shiva,male,supreme,universal
Durvasa,Durvasa,Durvasa,Shiva,male,supreme,universal
Nataraja,Nataraja,Nataraja,Shiva,male,supreme,universal
Ardhanarishvara,Ardhanarishvara,Ardhanarishvara,Shiva,male,supreme,universal
Tripurantaka,Tripurantaka,Tripurantaka,Shiva,male,supreme,universal
Mahakala,Mahakala,Mahakala,Shiva,male,supreme,universal
Sharabha,Sharabha,Sharabha,Shiva,male,supreme,universal
Ravananugraha,Ravananugraha,Ravananugraha,Shiva,male,supreme,universal
Vaidheeswara,Vaidheeswara,Vaitheeswaran_Koil,Shiva,male,supreme,universal
Lingodbhava,Lingodbhava,Lingodbhava,Shiva,male,supreme,universal
Somaskanda,Somaskanda,Somaskanda,Shiva,male,supreme,universal
Bhikshatana,Bhikshatana,Bhikshatana,Shiva,male,supreme,universal
Saraswati,Saraswati,Saraswati,Themselves,female,supreme,universal
Savitri,Savitri,nan,Saraswati,female,supreme,universal
Vani,Vani,nan,Saraswati,female,supreme,universal
Brahmani,Brahmani,Brahmani,Saraswati,female,supreme,universal
Gayatri,Gayatri,Gayatri,Saraswati,female,supreme,universal
Vāc,Vāc,V%C4%81c,Saraswati,female,supreme,universal
Shatarupa,Shatarupa,nan,Saraswati,female,supreme,universal
Medha,Medha,nan,Saraswati,female,supreme,universal
Sharada,Sharada,nan,Saraswati,female,supreme,universal
Bharati,Bharati,nan,Saraswati,female,supreme,universal
Aditi,Aditi,Aditi,Saraswati,female,supreme,universal
Lakshmi,Lakshmi,Lakshmi,Themselves,female,supreme,universal
Bhumi,Bhumi,Bhumi_(goddess),Lakshmi,female,supreme,universal
Vedavati,Vedavati,Vedavati,Lakshmi,female,supreme,universal
Sita,Sita,Sita,Lakshmi,female,supreme,universal
Radha,Radha,Radha,Lakshmi,female,supreme,universal
Gopis,Gopis,Gopi,Lakshmi,female,supreme,universal
Rukmini,Rukmini,Rukmini,Lakshmi,female,supreme,universal
Ashtabharya,Ashtabharya,Ashtabharya,Lakshmi,female,supreme,universal
Revati,Revati,Revati,Lakshmi,female,supreme,universal
Padmavathi,Padmavathi,Padmavathi,Lakshmi,female,supreme,universal
Niladevi,Niladevi,Nila_Devi,Lakshmi,female,supreme,universal
Tulasi,Tulasi,Tulasi_in_Hinduism,Lakshmi,female,supreme,universal
Rahi,Rahi,Rahi_(goddess),Lakshmi,female,supreme,universal
Andal,Andal,Andal,Lakshmi,female,supreme,universal
Narasimhi,Narasimhi,Pratyangira,Lakshmi,female,supreme,universal
Varahi,Varahi,Varahi,Lakshmi,female,supreme,universal
Kamalatmika,Kamalatmika,Kamalatmika,Lakshmi,female,supreme,universal
Parvati,Parvati,Parvati,Themselves,female,supreme,universal
