Reference,Name,Wiki link,Rank,Type
Amaterasu,Amaterasu-Ōmikami|Amaterasu,Amaterasu,major,shinto
Uzume,Ame-no-Uzume|Uzume,Ame-no-Uzume,major,shinto
Fūjin,Fūjin|Kaze-no-kami,F%C5%ABjin,major,shinto
Hachiman,Hachiman,Hachiman,major,shinto
Inari,Inari Ōkami|Inari,Inari_%C5%8Ckami,major,shinto
Ninigi,Ninigi-no-Mikoto|Ninigi,Ninigi-no-Mikoto,major,shinto
Ōmononushi,Ōmononushi|Ōkuninushi,%C5%8Cmononushi,major,shinto
Ōkuninushi,Ōkuninushi,%C5%8Ckuninushi,major,shinto
Omoikane,Omoikane,Omoikane_(Shinto),major,shinto
Raijin,Raijin,Raijin,major,shinto
Ryūjin,Ryūjin|Ōwatatsumi,Ry%C5%ABjin,major,shinto
Suijin,Suijin,Suijin,major,shinto
Susanoo,Susanoo-no-Mikoto|Susanoo,Susanoo-no-Mikoto,major,shinto
Takemikazuchi,Takemikazuchi,Takemikazuchi,major,shinto
Takeminakata,Takeminakata,Takeminakata,major,shinto
Tamanoya,Tamanoya,Tamanoya_(deity),major,shinto
Toyotama-hime,Toyotama-hime|Toyotama,Toyotama-hime,major,shinto
Tsukuyomi,Tsukuyomi-no-Mikoto|Tsukuyomi|Tsukiyomi,Tsukuyomi-no-Mikoto,major,shinto
Izanagi,Izanagi,Izanagi,primordial,shinto
Izanami,Izanami,Izanami,primordial,shinto
Kuninotokotachi,Kuninotokotachi,Kuninotokotachi,primordial,shinto
Omodaru ,Omodaru ,nan,primordial,shinto
Ayakashikone,Ayakashikone,nan,primordial,shinto
Otonoji,Otonoji,nan,primordial,shinto
Otonobe,Otonobe,nan,primordial,shinto
Toyokumono,Toyokumono,nan,primordial,shinto
Tsunuguhi,Tsunuguhi,nan,primordial,shinto
Ikuguhi,Ikuguhi,nan,primordial,shinto
Uhijini,Uhijini,nan,primordial,shinto
Suhijini,Suhijini,nan,primordial,shinto
Amatsu-Mikaboshi,Amatsu-Mikaboshi,Amatsu-Mikaboshi,minor,shinto
Amanozako,Amanozako,Amanozako,minor,shinto
Amatsumara,Amatsumara,Ama-Tsu-Mara,minor,shinto
Ajisukitakahikone,Ajisukitakahikone,Ajisukitakahikone,minor,shinto
Amatsuhikone,Amatsuhikone,Amatsuhikone,minor,shinto
Ame-no-hohi,Ame-no-hohi,Ame-no-hohi,minor,shinto
Ame-no-Naemasu,Ame-no-Naemasu,nan,minor,shinto
Ame-no-Koyane,Ame-no-Koyane,Ame-no-Koyane,minor,shinto
Oshihomimi,Ame-no-oshihomimi|Oshihomimi,Ame-no-oshihomimi,minor,shinto
Ame-no-wakahiko,Ame-no-wakahiko,Ame-no-wakahiko,minor,shinto
Atago Gongen,Atago Gongen,Atago_Gongen,minor,shinto
Tajikarao,Ame-no-Tajikarao|Tajikarao,Ame-no-Tajikarao,minor,shinto
Azumi-no-isora,Azumi-no-isora,Azumi-no-isora,minor,shinto
Amenohoakari,Amenohoakari,Amenohoakari,minor,shinto
Dojin,Dojin,nan,minor,shinto
Futodama,Futodama,Futodama,minor,shinto
Futsunushi,Futsunushi,Futsunushi,minor,shinto
