,Tweets,index
0,"Odin seems pretty odd in the greater indo-european context;

Most other proto IE descended god kings seem to fit the Dyḗus archetype (Zeus, Jupiter, Perun (Slavic), Dievs (Baltic), Indra, etc.)

but Thor seems to occupy that role in Norse myth instead",0
1,"#GodofWarRagnarok #GodofWar **SPOILERS** Could Ymir be pulling a GoW 3 Athena level Chess move on the Norse Pantheon through this existence tear? It's never too early for theories :D Fear killed Zeus, Curiosity killed Odin? https://t.co/mLVcZ56L28",0
2,"Because the gods washed away the fruit fields along with human civilization in Noah's deluge, Sakura Matou Nesoberi led the Titans and attacked Olympus, defeating Zeus and Odin. has come to an end. https://t.co/FbXz66oizn",0
3,"Odin is my favourite God of War antagonist by a long shot. Zeus was pretty boring, the Furies were obnoxious, Baldur was a great character with a neat design.

But Odin... so calm, so understanding on the outside, but a cruel, manipulative, patriarchal liar on the inside. Love it",0
4,"ᅠ 
 ᅠ 
 ᅠ

   ᅠ 
 ᅠ Zeus , as usual , had his arms crossed as he stood tall before turning to face the voice .

  stern as ever , he simply nodded ,

  ❛ Yes , your father Odin ... We've spoken before as well . What brings you here ? Here is utter chaos..❜ https://t.co/npLQUpxBaW",0
5,How ancient Kemet saw nature vs the concept of Gods #Odin#Zeus #Jesus #Kemet #Neteru #Hathor #Shu #Ra #Amunet #Heru #Nephthys #Set #egyptianmyth #norsemythology #greekmythology https://t.co/u0JOj7ZG9b,0
6,Finished #GodofWarRagnarok. That shit was actually really good once you get past the first 9 hours. 29 hours playtime total. Heimdall was the best boss for me. Thor was sadly underused and overall underwhelming. Great Odin portrayal and better villain than Zeus. 8/10,0
7,"It gets boring if the premise is that Jesus is just another looney deity like how they portray Odin n Zeus.

I prefer that Jesus as an ally of Kratos n how He can improve Kratos character development. https://t.co/Y5cEcT9cq5",0
8,Fighting odin just make me wanna fight Zeus again,0
9,I love the job Santa Monica did bringing the differences in Odin and the Norse gods from Zeus and the gods of Olympus to life.,0
10,"I'm at it again, making bargains with demons and taking over heaven and hell. Can I take down Odin? Vasuki? ZEUS?! 
I feel more grinding must be done. Come hang!

https://t.co/kW85PwMjoy",0
11,Odin and Zeus couldn’t handle my boy. Ra getting the same treatment. https://t.co/HkMbHIrJQH,0
12,"Zeus in the classic trilogy is an actual POS who practically baits you into wanting to just have an all out slug fest by the end. Odin's demeanor is just not that intimidating here, I'm sorry. https://t.co/ySYFUs5HcU",0
13,"Kratos kills Zeus, Odin, and Ra in the name of Jesus

Based! https://t.co/bWGvgkhkNz",0
14,"Headlines:
""Lauren Boebert's slight lead could diminish if ballots tossed due to signature verification are fixed""
Zeus, Jupiter, Odin and Ra. I'm giving them all a shoutout for a little help.. https://t.co/uc8zkSTbc5",0
0,Apollonianism: Where Odin and Dionysus are Jewish but Zelenksyy is not https://t.co/C97QSNB9u1,1
0,"The early gods of writing, the scribe gods like Odin, Thoth or Hermes, were also the gods of magic. I don’t believe that that is entirely a coincidence. In my estimation, writing and magic are practically the same thing.

#AlanMoore Storytelling, p. 6",3
1,I'm not gonna argue with Gemini mercury whatever you say Hermes/odin,3
0,"sell valorant turek
kosy: reaver, xenohunter
vandale: ion, gaia, neptune, reaver
phantomy: champion, oni, reaver 
sheriff: singularity
ghost: reaver 
spectre: reaver
odin: reaver
classic: glitchpop
operator: ion
cena do ustalenia
wiecej info dm https://t.co/u42ZXE1Ndv",4
1,"1 God War Mars
2 God Sky Jupiter
3 God Speed Mercury
4 God Time Saturn
5 Goddess Love Venus
6 Goddess Earth Gaia
7 God Sky Uranus
8 God Seas Neptune 
9 God Underworld Pluto

1 God War Odin
2 God Thunder Thor
3 God Mischief Loki",4
0,I saw someone compare Odin to a Tarantino character and I completely get it. Maybe throw in a bit of Hades from Disney’s Hercules.,5
1,"If  i died and either met hades or hel or odin or zeus , i actually wouldn’t be suprised they exist

I’m not religous but i’ve always said the planet is a lot older than us and even dinosaurs so many things came before so it isn't impossible for gods like zeuz or odin to of been",5
2,Bro why does Odin in God of War Ragnarok remind me of Hades from Hercules 🤣🤣,5
3,"✎ | : | OKAY BUT . Since Odin and Thor (Mostly Odin) know about the greek pantheon , that would indicate a friendship between the two , or atleast acknowledgment

Therefore, since Hades is one of the three main brothers , my headcanon is that he knows some norse gods",5
4,"Hades in Hercules walked so this Odin could run. Both are incredible weaselly, smarmy, snarky villains. #GodofWarRagnarok https://t.co/gL0pR7wj9u",5
5,"If Odin was Zeus, then Hades is Lucifer.",5
6,"Without spoiling too much, Odin in God Of War Ragnarok comes across a lot like a CEO like Steve Jobs or some shit. I've noticed this trend with a lot of villain characters lately, where they talk a lot more like a business man or a lawyer. Think Hades from Disney's Hercules.",5
7,Playing Odin like Hades from Disney's Hercules meets a Martin Scorsese gangster is an interesting choice #GodOfWarRagnarok,5
8,Odin in the new god of war gives big Disney hades energy and I will not explain further,5
9,"Summons I want to see in FF VII Rebirth(along with all the one from Remake back):

Phoenix
Ramuh
Hades
Titan
Odin

The rest save for part 3 like Alexander, Neo Bahamut and Bahamut Zero, Typhon and Knights of the Round.",5
0,what if all gods actually exist and god is just up there rn with odin and poseidon playing uno or something?,6
1,"Man I have to give a round of applause to the guys at santa Monica studio,the transition of the old God of war to the new wasn't an easy thing to do,from Greek mythology to Norse mythology, from battling Zeus and Poseidon to battling Thor and Odin,you guys broke all boundaries❤️.",6
0,"Artemis looked much like this…

She hated Humanity…

With a Sadistic Passion…

Humankind REPELLED Diana…

She planned their Destruction…

Eternally…

And a coup against Odin in Paradise…

Where she wanted to reign…

Forever, with Satan…

V https://t.co/QkPsrdqBYB",7
0,"#GodofWarRagnarok #GodofWar **SPOILERS** Could Ymir be pulling a GoW 3 Athena level Chess move on the Norse Pantheon through this existence tear? It's never too early for theories :D Fear killed Zeus, Curiosity killed Odin? https://t.co/mLVcZ56L28",8
