,name,average
0,Odin,25.6
1,Thor,82.9
2,Loki,27.1
3,Freyja,0.9
4,Frigg,1.1
5,Mani,41.0
6,Baldr,0.8
7,Freyr,3.8
8,Hel,8.3
9,Bragi,0.3
10,Magni,3.0
11,Nerthus,0.1
12,Sif,7.2
13,Fulla,1.5
14,Nanna,6.3
15,Yggdrasil,2.6
16,Ullr,0.0
17,Vali,10.8
18,Var,148.6
19,Dagr,0.0
20,Perun,0.6
21,Mokosh,0.0
22,Rod,94.7
23,Veles,1.1
24,Dazhbog,0.0
25,Svetovit,0.0
26,Khors,0.2
27,Svarog,0.1
28,Lada,32.0
29,Triglav,1.1
30,Simargl,0.1
31,Yarovit,0.0
32,Morana,1.9
33,Stribog,0.2
34,Yarilo,0.0
35,Svarozhits,0.0
36,Rozhanitsy,0.0
37,Zorya,0.8
38,Rugiaevit,0.0
39,Porevit,0.0
40,Zeus,43.0
41,Dionysus,2.6
42,Aphrodite,8.4
43,Hermes,43.2
44,Gaia,26.9
45,Hades,17.7
46,Poseidon,13.7
47,Artemis,92.7
48,Athena,28.2
49,Demeter,4.1
50,Hera,21.0
51,Cronus,2.6
52,Eris,4.8
53,Ares,19.6
54,Helios,28.3
55,Oceanus,0.8
56,Eros,29.6
57,Uranus,9.0
58,Persephone,3.7
59,Hephaestus,1.3
60,Apollo,76.1
61,Jupiter,60.1
62,Venus,70.1
63,Mars,84.7
64,Juno,14.4
65,Nemesis,8.5
66,Diana,234.7
67,Saturn,52.5
68,Cupid,10.1
69,Cybele,0.5
70,Mercury,76.8
71,Pluto,45.8
72,Ceres,9.4
73,Neptune,19.5
74,Liber,5.8
75,Victoria,338.6
76,Roma,405.1
77,Vesta,8.9
78,Janus,5.6
79,Fortuna,50.6
80,Isis,16.5
81,Osiris,8.5
82,Ra,146.0
83,Horus,8.3
84,Hathor,0.9
85,Asclepius,1.8
86,Amun,0.7
87,Thoth,1.5
88,Anubis,6.4
89,Ptah,0.3
90,Atum,4.8
91,Neith,0.6
92,Shu,12.0
93,Nut,69.4
94,Sekhmet,0.7
95,Bastet,1.2
96,Maat,16.8
97,Nephthys,0.1
98,Mut,9.7
99,Geb,2.0
100,Amaterasu,1.4
101,Izanagi,0.7
102,Izanami,0.6
103,Susanoo,1.5
104,Ninigi,0.1
105,Inari,2.9
106,Kagutsuchi,0.1
107,Takamimusubi,0.0
108,Takemikazuchi,0.0
109,Watatsumi,0.3
110,Oshihomimi,0.0
111,Hoori,0.0
112,Kotoshironushi,0.0
113,Benzaiten,0.0
114,Uzume,0.3
115,Daikokuten,0.1
116,Ebisu,1.1
117,Toyotama-hime,0.0
118,Tsukuyomi,1.2
119,Ame-no-Koyane,0.0
120,Vishnu,22.4
121,Shiva,43.7
122,Lakshmi,33.1
123,Krishna,135.2
124,Brahma,14.8
125,Indra,13.6
126,Parvati,6.3
127,Shakti,17.5
128,Agni,4.8
129,Durga,22.9
130,Rudra,5.0
131,Kali,96.1
132,Mahadevi,1.5
133,Rama,48.5
134,Narayana,10.4
135,Varuna,1.5
136,Saraswati,15.2
137,Buddha,40.9
138,Varaha,3.1
139,Garuda,19.8
